"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\settings_components\data.dart", "Dart", 32, 0, 6, 38
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\theme_components\all.dart", "Dart", 5, 0, 0, 5
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\theme_components\colors.dart", "Dart", 54, 2, 11, 67
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\theme_components\design.dart", "Dart", 38, 0, 6, 44
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\theme_components\overall_theme.dart", "Dart", 53, 0, 3, 56
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\theme_components\presetter.dart", "Dart", 138, 0, 11, 149
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\theme_components\resetter.dart", "Dart", 0, 35, 6, 41
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\panel_collapsed.dart", "Dart", 260, 1, 23, 284
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\panel_extended.dart", "Dart", 18, 0, 7, 25
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\stageboard_components.dart", "Dart", 4, 0, 0, 4
"Total", "-", 28796, 2593, 5035, 36424
